"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","nomenclaturalStatus","recordNumber","identifier.1","nomenclaturalCode","locality","county","collectionCode","gbifID","occurrenceID","type","taxonID","catalogNumber","institutionCode","ownerInstitutionCode","bibliographicCitation","collectionID","name","networkKeys","gadm","higherGeography","collectionKey","institutionID","higherClassification","georeferenceProtocol","georeferenceRemarks","organismID","locationID","accessRights","georeferenceSources","typeStatus","typifiedName","preparations","verbatimEventDate","media_url"
"4060940912","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",-10.29,-75.52,"gass84,osiic,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T20:00:04.724+00:00",102,"PRESERVED_SPECIMEN",5,"PRESENT",5418633,6,7707728,220,690,5014,3181965,10522953,10522953,"Acca lanuginosa (Ruiz & Pav. ex G.Don) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Acca","Acca lanuginosa","Acca","lanuginosa","SPECIES","SYNONYM","VU","2011-01-01T00:00:00",1790,"SOUTH_AMERICA","Pasco",2007,9,22,"2007-09-22",265,265,"2022-12-03T22:33:00.000+00:00","2024-08-02T20:00:04.724+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:MO:Tropicos:102440192","none","none","2ff33cf6-4f9c-4ea5-aef9-8fb1f8ac88b1",TRUE,"Tropicos","Abel Monteagudo|A. Peña Cruz|J. Mateo M.|L. Chuck|César Rojas","Les R. Landrum (ASU)","WGS84","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA","Missouri Botanical Garden","No opinion","Monteagudo Mendoza 15219","urn:catalog:MO:Tropicos:102440192","ICNafp","Protected due to name conservation status","Oxapampa","Tropicos","4060940912","urn:catalog:MO:Tropicos:102440192","PhysicalObject","22102013","102440192","AMAZ","MOBOT","http://www.tropicos.org/Specimen/102440192","http://biocol.org/urn:lsid:biocol.org:col:15859","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100774000/42435650-0A29-41C2-9A7E-83D55A11C4E3.jpg"
"1228359947","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",-9.1839,-74.14,"gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T10:59:44.578+00:00",313,"PRESERVED_SPECIMEN",NA,"PRESENT",5418633,6,7707728,220,690,5014,3181965,10522953,10522953,"Acca lanuginosa (Ruiz & Pav. ex G.Don) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Acca","Acca lanuginosa","Acca","lanuginosa","SPECIES","SYNONYM","VU",NA,NA,"SOUTH_AMERICA",NA,NA,NA,NA,NA,NA,NA,"2023-03-02T18:27:00.000+00:00","2024-01-25T10:59:44.578+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"0aea0341-cb2f-411a-bdb4-2b0f27276c1e","none","none","689b4219-8256-4c6e-890b-2e81405d4c58",FALSE,"seeds-22-sep-2023","J. F. Macbride",NA,"WGS84","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA","The Field Museum of Natural History",NA,"5965","0aea0341-cb2f-411a-bdb4-2b0f27276c1e","ICBN","Perú",NA,"Botany","1228359947","0aea0341-cb2f-411a-bdb4-2b0f27276c1e",NA,NA,"V0107201F","F","F",NA,"Botany","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",NA,NA,"South America, Perú. [LL]",NA,"F","Plantae Spermatophyta Dicotyledoneae Myrtaceae","TGN - Country Centroid","Generalised COUNTRY centroid","2381571","26f9b8d6-39e2-47ea-813c-5c707f99edbc","http://fieldmuseum.org/about/copyright-information","Getty Thesaurus of Geographic Names (TGN)",NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/495/638/V0107201F.jpg"
"1228467645","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",-9.1839,-74.14,"gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T11:00:12.774+00:00",313,"PRESERVED_SPECIMEN",NA,"PRESENT",5418633,6,7707728,220,690,5014,3181965,10522953,10522953,"Acca lanuginosa (Ruiz & Pav. ex G.Don) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Acca","Acca lanuginosa","Acca","lanuginosa","SPECIES","SYNONYM","VU",NA,NA,"SOUTH_AMERICA",NA,NA,NA,NA,NA,NA,NA,"2023-03-01T21:30:00.000+00:00","2024-01-25T11:00:12.774+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"efccbfd4-519e-49ec-b10c-7b72704cb06c","none","none","689b4219-8256-4c6e-890b-2e81405d4c58",FALSE,"seeds-22-sep-2023","A. Monteagudo",NA,"WGS84","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA","The Field Museum of Natural History",NA,"15219","efccbfd4-519e-49ec-b10c-7b72704cb06c","ICBN","Perú",NA,"Botany","1228467645","efccbfd4-519e-49ec-b10c-7b72704cb06c",NA,NA,"V0107202F","F","F",NA,"Botany","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",NA,NA,"South America, Perú. [LL]",NA,"F","Plantae Spermatophyta Dicotyledoneae Myrtaceae","TGN - Country Centroid","Generalised COUNTRY centroid","2381572","26f9b8d6-39e2-47ea-813c-5c707f99edbc","http://fieldmuseum.org/about/copyright-information","Getty Thesaurus of Geographic Names (TGN)",NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/495/639/V0107202F.jpg"
"1228522043","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",-9.1839,-74.14,"gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T11:00:20.719+00:00",313,"PRESERVED_SPECIMEN",NA,"PRESENT",5418633,6,7707728,220,690,5014,3181965,10522953,10522953,"Acca lanuginosa (Ruiz & Pav. ex G.Don) Mc Vaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Acca","Acca lanuginosa","Acca","lanuginosa","SPECIES","SYNONYM","VU",NA,NA,"SOUTH_AMERICA",NA,NA,NA,NA,NA,NA,NA,"2023-03-01T21:28:00.000+00:00","2024-01-25T11:00:20.719+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"f4217aa2-f299-470a-88bd-5f3deb2daa9e","none","none","689b4219-8256-4c6e-890b-2e81405d4c58",FALSE,"seeds-22-sep-2023","A. Weberbauer",NA,"WGS84","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA","The Field Museum of Natural History",NA,"6712","f4217aa2-f299-470a-88bd-5f3deb2daa9e","ICBN","Perú",NA,"Botany","1228522043","f4217aa2-f299-470a-88bd-5f3deb2daa9e",NA,NA,"V0107203F","F","F",NA,"Botany","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh",NA,NA,"South America, Perú. [LL]",NA,"F","Plantae Spermatophyta Dicotyledoneae Myrtaceae","TGN - Country Centroid","Generalised COUNTRY centroid","2381573","26f9b8d6-39e2-47ea-813c-5c707f99edbc","http://fieldmuseum.org/about/copyright-information","Getty Thesaurus of Geographic Names (TGN)",NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/495/640/V0107203F.jpg"
