"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","fieldNotes","municipality","locality","gbifID","collectionCode","occurrenceID","name","dateIdentified","elevation","occurrenceRemarks","references","associatedOccurrences","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","preparations","nomenclaturalCode","verbatimEventDate","county","language","type","verbatimElevation","higherGeography","georeferenceProtocol","eventRemarks","habitat","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","reproductiveCondition","georeferenceSources","gadm","typeStatus","organismID","ownerInstitutionCode","accessRights","typifiedName","media_url","license"
"3014251311","Eugenia pohliana DC.",-8.699722,-37.35,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:56.038+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Pernambuco",2019,10,3,"2019-10-03",276,276,"2023-07-04T20:51:37.000+00:00","2024-08-01T12:21:56.038+00:00",FALSE,"urn:catalog:JBRJ:RB:1434562","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 807531","J.M.Santos; A.P.Fontana","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","797","urn:catalog:JBRJ:RB:1434562","RB01434562","04.936.616/0001-20","JBRJ","Nativa ;Savana Estépica; Planossolo Háplico Eutrófico; Caatinga.","Tupanatinga","Sítio Baixa Grande.","3014251311","RB","urn:catalog:JBRJ:RB:1434562","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/43/45/62/01434562.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1423920311","Eugenia pohliana DC.",-12.543611,-41.575278,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:46.164+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2014,10,26,"2014-10-26",299,299,"2017-10-15T16:41:09.000+00:00","2024-08-01T12:21:46.164+00:00",FALSE,"urn:catalog:JBRJ:RB:1152518","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 656229","J.E.Q. Faria; T.N.C. Vasconcelos; E.J. Lucas.","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","732","urn:catalog:JBRJ:RB:1152518","RB01152518","04.936.616/0001-20","JBRJ","Cerrado rupestre.","Palmeiras","Margem da estrada de terra de Palmeiras para Guiné/Mucugê, próximo a Palmeiras.","1423920311","RB","urn:catalog:JBRJ:RB:1152518","Eugenia pohliana DC.","2014-10-01T00:00:00",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/15/25/18/01152518.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1424422850","Eugenia pohliana DC.",-12.490278,-45.257778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:41.779+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",1997,11,8,"1997-11-08",312,312,"2017-10-19T09:51:04.000+00:00","2024-08-01T12:21:41.779+00:00",FALSE,"urn:catalog:JBRJ:RB:724982","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 340619","R.C. Mendonça; E. Cardoso, D. Alvarenga, M. Aparecida da Silva, F.C.A. Oliveira","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","3256","urn:catalog:JBRJ:RB:724982","RB00724982","04.936.616/0001-20","JBRJ","Cerrado, solo com textura areno-argilosa, relevo plano","São Desidério","Estrada de chão entre Roda Velha e Estiva, ca. de 34Km de Roda Velha (estrada antiga).","1424422850","RB","urn:catalog:JBRJ:RB:724982","Eugenia pohliana DC.",NA,675,"Subarbusto ca. 1m, heliófilo, tronco com casca lisa, folhas membranáceas, frutos imaturos cor verde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/72/49/82/00724982.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2270556338","Eugenia pohliana DC.",-13.083333,-41.783333,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:15.607+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",1996,9,5,"1996-09-05",249,249,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:15.607+00:00",FALSE,"3012058","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"257248","R. M. Harley; L. P. de Queiroz, A. M. Giulietti, M. A. Mayworn","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"28264","3012058","ASU0034636",NA,"ASU",NA,NA,"Piata: Cabralia- 26 km em direcao a Piata.","2270556338","Plants","7b9b6594-60a4-4552-a1a8-7c5246732df2","Eugenia pohliana DC.","2003-07-01T00:00:00",1255,"Arbusto de ca. 1.5 m de altura. Folhas coriaceas. Flores com petalas e filetes brancos, anteras creme.","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3012058","herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=7ebf427d-4dcd-450d-9f3d-17ef4e1d0879","7b9b6594-60a4-4552-a1a8-7c5246732df2","47900","http://creativecommons.org/licenses/by-nc/3.0/","alorozco","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0034/ASU0034636a_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"912079285","Eugenia pohliana DC.",-12.416667,-41.783333,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:23.254+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1994,7,12,"1994-07-12T00:00",193,193,"2014-02-17T08:46:10.337+00:00","2024-08-02T01:14:23.254+00:00",FALSE,"K000001620","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Ganev, W.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"3513","K000001620","K000001620",NA,"K",NA,"Piatã","Entroncamento da estrada Piatã-cabrália, com estrada de Inúbia.","912079285","Herbarium","http://specimens.kew.org/herbarium/K000001620","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Piatã","Label",NA,"Campo rupestre com solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/aa12c93bc45b59bb10acc70103bda79f.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"912079318","Eugenia pohliana DC.",-13.833333,-41.833333,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:20.158+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1993,8,30,"1993-08-30T00:00",242,242,"2014-02-17T08:46:50.620+00:00","2024-08-02T01:14:20.158+00:00",FALSE,"K000001621","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Ganev, W.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"2175","K000001621","K000001621",NA,"K",NA,"Rio de Contas","Ladeira do Toucinho.  Caminho Catolés-Arapiranga.","912079318","Herbarium","http://specimens.kew.org/herbarium/K000001621","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Contas","Label",NA,"Campo rupestre com carrasco com solo arenoso com muitos veios de quartzo e rochas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/799850360e0ba123685c000c7cd8309c.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"912079290","Eugenia pohliana DC.",-13.333333,-41.783333,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:20.306+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1992,9,26,"1992-09-26T00:00",270,270,"2014-02-17T08:41:42.943+00:00","2024-08-02T01:14:20.306+00:00",FALSE,"K000001614","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Ganev, W.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"1199","K000001614","K000001614",NA,"K",NA,"Abaíra","Caminho Engenho-Marques, a beira do Corrego do Outeiro.","912079290","Herbarium","http://specimens.kew.org/herbarium/K000001614","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Abaíra","Label",NA,"Carrasco com solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/9892d4faba1c8d7db595152c5ae05167.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"912079302","Eugenia pohliana DC.",-13.333333,-41.783333,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:23.239+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1992,9,26,"1992-09-26T00:00",270,270,"2014-02-17T08:43:48.743+00:00","2024-08-02T01:14:23.239+00:00",FALSE,"K000001615","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Ganev, W.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"1198","K000001615","K000001615",NA,"K",NA,"Abaíra","Caminho Engenho-Marques, a beira do Corrego do Outeiro.","912079302","Herbarium","http://specimens.kew.org/herbarium/K000001615","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Abaíra","Label",NA,"Carrasco com solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/3877ce49e43528401133c594d20b16a9.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"912079341","Eugenia pohliana DC.",-13.3,-41.833333,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:23.212+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1992,9,10,"1992-09-10T00:00",254,254,"2014-02-17T08:42:25.963+00:00","2024-08-02T01:14:23.212+00:00",FALSE,"K000001616","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Ganev, W.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"1063","K000001616","K000001616",NA,"K",NA,"Abaíra","Estrada Catoles-Ribeirao, proximo ao escorregador, beira do Ricaho da Cruz.","912079341","Herbarium","http://specimens.kew.org/herbarium/K000001616","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Abaíra","Label",NA,"Carrasco com solo arenoso com rochas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/8e3911b4cad59f30812d01dcbd253b07.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"912079265","Eugenia pohliana DC.",-13.083333,-41.8,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:15.806+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5416658,6,7707728,220,690,5014,3177662,5416658,5416658,"Eugenia pohliana DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pohliana","Eugenia","pohliana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1992,9,8,"1992-09-08T00:00",252,252,"2014-02-17T08:45:16.073+00:00","2024-08-02T01:15:15.806+00:00",FALSE,"K000001617","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Ganev, W.","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"1046","K000001617","K000001617",NA,"K",NA,"Piatã","Estrada Piata-Inubia, proximo ao entroncamento.","912079265","Herbarium","http://specimens.kew.org/herbarium/K000001617","Eugenia pohliana DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Piatã","Label",NA,"Campo rupestre com solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/476dd650a36b66ddeda02eb18dbd0a38.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
