"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","collectionCode","occurrenceID","name","elevation","elevationAccuracy","dynamicProperties","occurrenceRemarks","fieldNotes","references","habitat","http...unknown.org.recordID","county","taxonID","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","reproductiveCondition","gadm","identificationQualifier","media_url","license"
"3912824884","Campomanesia cavalcantina Soares-Silva & Proença",-13.616667,-47.479444,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:54.189+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE","2019-07-01T00:00:00","SOUTH_AMERICA","Goiás",2019,7,7,"2019-07-07",188,188,"2022-08-26T16:10:54.000+00:00","2024-08-01T12:21:54.189+00:00",FALSE,"urn:catalog:JBRJ:RB:1468730","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 836132","J.E.Q. Faria; L.H. Soares Silva","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","9381","urn:catalog:JBRJ:RB:1468730","RB01468730","04.936.616/0001-20","JBRJ","Cavalcante","Margem da estrada de terra entre Cavalcante e a comunidade Kalunga Engenho II, na entrada para a comunidade","3912824884","RB","urn:catalog:JBRJ:RB:1468730","Campomanesia cavalcantina Soares-Silva & Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/46/87/30/01468730.jpg","http://creativecommons.org/licenses/by/4.0/"
"4131126365","Campomanesia cavalcantina Soares-Silva & Proença",-13.661944,-47.476111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:56.232+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE","2019-07-01T00:00:00","SOUTH_AMERICA","Goiás",2019,7,6,"2019-07-06",187,187,"2023-05-26T21:07:37.000+00:00","2024-08-01T12:21:56.232+00:00",FALSE,"urn:catalog:JBRJ:RB:1491854","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 851494","J.E.Q. Faria; L.H.S. Silva","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","9370","urn:catalog:JBRJ:RB:1491854","RB01491854","04.936.616/0001-20","JBRJ","Cavalcante","Margem da estrada de terra entre Cavalcante e a comunidade Kalunga Engenho II, próximo à entrada para a comunidade Kalunga","4131126365","RB","urn:catalog:JBRJ:RB:1491854","Campomanesia cavalcantina Soares-Silva & Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/49/18/54/01491854.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424515493","Campomanesia cavalcantina Soares-Silva & Proença",-13.973889,-47.498611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.053+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Goiás",2014,11,26,"2014-11-26",330,330,"2018-04-24T16:09:20.000+00:00","2024-08-01T12:21:48.053+00:00",FALSE,"urn:catalog:JBRJ:RB:996019","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 630674","Eduardo P. Fernandez; Márcio Verdi & Daniel Maurenza",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","137","urn:catalog:JBRJ:RB:996019","RB00996019","04.936.616/0001-20","JBRJ","Alto Paraíso de Goiás","Pouso Alto, BR-010, sentido Teresina de Goiás e Cavalcante, lado esquerdo da estrada. Estrada de terra para as Cabeceiras do Rio Preto, guarita abandonada; área intangível do PARNA. Parque Nacional da Chapada dos Veadeiros","1424515493","RB","urn:catalog:JBRJ:RB:996019","Campomanesia cavalcantina Soares-Silva & Proença",1550,50,"{""project"" : ""Projeto Cerrado/ CNCFlora""}","Pequeno arbusto c/ cerca de 0,4 m, pouco frequente nos Campos Limpos; folhas opostas verdes discolores; margens amareladas; diminutas brácteas verde-claras; flores c/ pétalas brancas, estames alvos e grãos de pólen amarelos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/99/60/19/00996019.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424508849","Campomanesia cavalcantina Soares-Silva & Proença",-13.65,-47.466667,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:47.635+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Goiás",2013,3,3,"2013-03-03",62,62,"2017-10-19T10:06:07.000+00:00","2024-08-01T12:21:47.635+00:00",FALSE,"urn:catalog:JBRJ:RB:949336","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 623094","J.E.Q. Faria et. al.;","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","3324","urn:catalog:JBRJ:RB:949336","RB00949336","04.936.616/0001-20","JBRJ","Cavalcante","Estrada Cavalcante-Minaçu; proximo a entrada para o povoado Kalunga Engenho II; Campo limpo.","1424508849","RB","urn:catalog:JBRJ:RB:949336","Campomanesia cavalcantina Soares-Silva & Proença",1098,NA,NA,"Arbusto 1,2m; Flor creme; Fruto imaturo verde; Botões verdes","Campo limpo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/94/93/36/00949336.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424477848","Campomanesia cavalcantina Soares-Silva & Proença",-13.661944,-47.476111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:46.391+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE","2012-05-01T00:00:00","SOUTH_AMERICA","Goiás",2012,5,13,"2012-05-13",134,134,"2017-10-14T18:28:16.000+00:00","2024-08-01T12:21:46.391+00:00",FALSE,"urn:catalog:JBRJ:RB:846097","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 595826","J.E.Q. Faria; M. Mendoza; A.L.C. Moreira; K.M. Gomes-Bezerra","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2659","urn:catalog:JBRJ:RB:846097","RB00846097","04.936.616/0001-20","JBRJ","Cavalcante","Margem da estrada de terra que liga Cavalcante a Minaçu, próximo à entrada para a comunidade Kalunga Engenho II.","1424477848","RB","urn:catalog:JBRJ:RB:846097","Campomanesia cavalcantina Soares-Silva & Proença",1094,NA,NA,"Arbusto ca. 1,5m de altura, botão floral verde, flor creme, fruto imaturo verde","Campo limpo úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/60/97/00846097.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424477868","Campomanesia cavalcantina Soares-Silva & Proença",-13.619167,-47.491389,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.506+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE","2012-05-01T00:00:00","SOUTH_AMERICA","Goiás",2012,5,13,"2012-05-13",134,134,"2017-10-14T19:33:26.000+00:00","2024-08-01T12:21:43.506+00:00",FALSE,"urn:catalog:JBRJ:RB:846100","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 595827","J.E.Q. Faria; M. Mendoza; A.L.C. Moreira; K.M. Gomes-Bezerra","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2662","urn:catalog:JBRJ:RB:846100","RB00846100","04.936.616/0001-20","JBRJ","Cavalcante","Margem da estrada de terra que liga Cavalcante a Minaçi, após a entrada para a comunidade Kalunga Engenho II.","1424477868","RB","urn:catalog:JBRJ:RB:846100","Campomanesia cavalcantina Soares-Silva & Proença",1145,NA,NA,"Arbusto ca. 1,5m de altura, botão floral verde, flor creme e fruto imaturo verde","Campo sujo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/61/0/00846100.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270480060","Campomanesia cavalcantina Soares-Silva & Proença",-13.6934,-47.4688,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:11.395+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7903087,6,7707728,220,690,5014,3180879,7903087,7903087,"Campomanesia cavalcantina Soares-Silva & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia cavalcantina","Campomanesia","cavalcantina","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Goias",2010,4,21,"2010-04-21",111,111,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:11.395+00:00",FALSE,"1121782","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"276915","M. Ibrahim; J.E.Q.Faria Jr. & D. Villarroel",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"197-197","1121782","ASU0019682",NA,"ASU",NA,"Estrada Cavalcante-Minaçu, caminho para a comunidade Engenho Kalunga, passando pelo Mirante Aurora. (Road Cavalcante-Minaçu, access to community Engenho Kalunga, through the observation point called Aurora).","2270480060","Plants","76d5656f-b79a-41c5-91e1-5dac499273aa","Campomanesia cavalcantina Soares-Silva & Proença",1083,NA,NA,"Photo specimen; C. cavalcantina; Arbusto, cerca de 1,5m alt. Folhas cartáces a coriáceas, verdes discolores, conduplicadas, glabras. Botões creme, cálice verde, corola e filetes brancos, anteras amarelas. Frutos imaturos verdes a vináceos. (Shrub, ca. 1.5 m high. Leaves chartaceous to coriaceous, green discolor, conduplicate, glabrous. Cream buds, green calyx, white corolla and filaments, and yellow anthers. Green fruit immature).Ocurrence: freqüente (frequent).",NA,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1121782","Cerrado-campo limpo graminoso","76d5656f-b79a-41c5-91e1-5dac499273aa","Cavalcante","167790","http://creativecommons.org/licenses/by-nc/3.0/","Les","Plantae|Tracheophyta|Spermatophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Campomanesia","a2e32c87-d320-4a01-bafd-a9182ae2e191","flowers",NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019682_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
