"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","higherGeography","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","isSequenced","identifier","facts","relations","isInCluster","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","catalogNumber","habitat","municipality","locality","eventRemarks","gbifID","collectionCode","occurrenceID","higherClassification","name","stateProvince","references","institutionKey","collectionKey","datasetName","preparations","rightsHolder","institutionID","nomenclaturalCode","verbatimEventDate","county","language","type","institutionCode","identificationRemarks","collectionID","georeferenceSources","georeferenceProtocol","gadm","modified","otherCatalogNumbers","fieldNotes","occurrenceRemarks","georeferencedDate","typeStatus","bibliographicCitation","typifiedName","recordedByIDs.type","recordedByIDs.value","organismID","ownerInstitutionCode","accessRights","dynamicProperties","fieldNumber","verbatimLocality","disposition","reproductiveCondition","georeferenceRemarks","locationID","eventID","footprintSRS","verbatimIdentification","verbatimElevation","individualCount","nomenclaturalStatus","taxonID","media_url","license"
"4519375278","Myrcia micropetala (Mart.) Nied.",-14.334722,-39.042778,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:43.461+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU","2017-01-01T00:00:00",105,"SOUTH_AMERICA","Itacaré",2006,12,5,"2006-12-05T00:00",339,339,"2024-08-02T01:14:43.461+00:00",FALSE,"K000565095","none","none",FALSE,"Lucas, E.J.; D.Sampaio, N.A.Brummitt, O.R.Campos, T.B.Flores, L.V.S.Jennings","Lucas, E.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE","1033","K000565095","K000565095","Restinga","Itacaré","Fazenda do Boa Paz, trilha do Boa Paz","Árvore de c. 8 m de altura, vegetativo","4519375278","Herbarium","http://specimens.kew.org/herbarium/K000565095","Myrtaceae","Myrcia micropetala (Mart.) Nied.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/c144604a077c3abf9b8a2f4a9b7a5337.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1928999093","Myrcia micropetala (Mart.) Nied.",-13.328889,-39.090278,"cdround,gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:59.634+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU","2010-01-01T00:00:00",NA,"SOUTH_AMERICA",NA,2004,6,26,"2004-06-26",178,178,"2024-07-21T05:13:59.634+00:00",FALSE,"571ad250-9fb1-453c-8844-b16781f08b3f","none","none",TRUE,"P. Fiaschi","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","2366","571ad250-9fb1-453c-8844-b16781f08b3f","01197895",NA,NA,"Estrada de Valença para Guaibim, ca. 2 km. Ramal à esq. 8 km. Ramal vicinal à esq., ca. 1 km RPPN Água Branca.",NA,"1928999093","NY","571ad250-9fb1-453c-8844-b16781f08b3f",NA,"Myrcia micropetala (Mart.) Nied.","Bahia","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407879","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","Vascular plants","sheet","The New York Botanical Garden","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","26 Jun 2004","Valença Mun.","en","PhysicalObject","NY","Indentification from photos","http://biocol.org/urn:lsid:biocol.org:col:15556","Label",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2156/644/01197895.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1928317126","Myrcia micropetala (Mart.) Nied.",-14,-39.17,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:29.761+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU","2010-01-01T00:00:00",NA,"SOUTH_AMERICA",NA,2004,11,12,"2004-11-12",317,317,"2024-07-21T05:13:29.761+00:00",FALSE,"26be2d43-2086-4d29-a776-d1453fe51662","none","none",TRUE,"J. L. Paixão","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","289","26be2d43-2086-4d29-a776-d1453fe51662","00836714","Floresta Higrófila",NA,"Rod. BA. 650, Camamu/Travessao, Faz. Zumbi dos Palmares, Cachoeira de Crespe",NA,"1928317126","NY","26be2d43-2086-4d29-a776-d1453fe51662",NA,"Myrcia micropetala (Mart.) Nied.","Bahia","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923229","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","Vascular plants","sheet","The New York Botanical Garden","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","12 Nov 2004","Camamu Mun.","en","PhysicalObject","NY","Identification from photos","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2154/306/00836714.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1928214378","Myrcia micropetala (Mart.) Nied.",-14.2814954,-38.9965836,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:24.703+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU","2007-01-01T00:00:00",NA,"SOUTH_AMERICA",NA,2000,5,19,"2000-05-19",140,140,"2024-07-21T05:13:24.703+00:00",FALSE,"1f72ef23-b9b3-445c-8433-4af20d0dc7c7","none","none",TRUE,"S. C. de Sant'Ana","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","876","1f72ef23-b9b3-445c-8433-4af20d0dc7c7","02890606","Mata higrófila sul baiana.",NA,"APA de Itacaré/Serra Grande. Km 12 da Rod. Itacaré/Serra Grande.",NA,"1928214378","NY","1f72ef23-b9b3-445c-8433-4af20d0dc7c7",NA,"Myrcia micropetala (Mart.) Nied.","Bahia","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3321721","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","Vascular plants","sheet","The New York Botanical Garden","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","19 May 2000","Itacaré Mun.","en","PhysicalObject","NY","[Determination from SpeciesLink (SP 351050), Sep. 2016]","http://biocol.org/urn:lsid:biocol.org:col:15556","CRIA (Centro de Referência em Informação Ambiental)","Other source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2400/628/02890606.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1927858239","Myrcia micropetala (Mart.) Nied.",-15.15,-39.08,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:12:59.949+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU","2010-01-01T00:00:00",NA,"SOUTH_AMERICA",NA,1997,6,6,"1997-06-06",157,157,"2024-07-21T05:12:59.949+00:00",FALSE,"06646188-d52b-4120-a0f3-385d1338066c","none","none",TRUE,"J. G. Jardim","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","1076","06646188-d52b-4120-a0f3-385d1338066c","1039255","Região da Mata Higrófila Sul Baiana",NA,"Reserva Biológica do Mico-leão (IBAMA).  Entrada no km 46 da Rod. BA-001 Ilhéus/Una.  8-10 Kms na estrada que margeia ao Rio Maruim.  Picada paralela ao rio Maruim.",NA,"1927858239","NY","06646188-d52b-4120-a0f3-385d1338066c",NA,"Myrcia micropetala (Mart.) Nied.","Bahia","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329174","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","Vascular plants","sheet","The New York Botanical Garden","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","06 Jun 1997","Una Mun.","en","PhysicalObject","NY","Identification from photos","http://biocol.org/urn:lsid:biocol.org:col:15556","label",NA,NA,NA,NA,NA,"Site: R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2156/088/01039255.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1424074029","Myrcia micropetala (Mart.) Nied.",-14.416667,-39.016667,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:36.431+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA",NA,1994,4,28,"1994-04-28",118,118,"2024-08-01T12:21:36.431+00:00",FALSE,"urn:catalog:JBRJ:RB:312889","none","none",TRUE,"J.G. Jardim; A.M. de Carvalho, A.M. Amorim & S.C. Sant´Ana","G.M. Barroso","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","420","urn:catalog:JBRJ:RB:312889","RB00312889",NA,"Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande-Itacaré, Fazenda Lagoa do Conjunto e Fazenda Santa Cruz.",NA,"1424074029","RB","urn:catalog:JBRJ:RB:312889",NA,"Myrcia micropetala (Mart.) Nied.","Bahia",NA,"48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa","RB - Rio de Janeiro Botanical Garden Herbarium Collection",NA,"Rio de Janeiro Botanical Garden","04.936.616/0001-20",NA,NA,NA,NA,NA,"JBRJ",NA,NA,NA,NA,"none","2014-07-22T18:46:47.000+00:00","RB 347685",NA,"árvore com ca. 10 m de altura. Folhas verdes na face superior e face inferior opaca, algo marron nas folhas mais jovens. Frutos imaturos, com indumento marron.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/31/28/89/00312889.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1930653695","Myrcia micropetala (Mart.) Nied.",-14.310972,-39.026455,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:41.596+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU","1994-01-01T00:00:00",NA,"SOUTH_AMERICA",NA,1992,12,14,"1992-12-14",349,349,"2024-07-21T05:14:41.596+00:00",FALSE,"cc29818c-ea49-4828-92e9-27f80e86639c","none","none",TRUE,"A. M. Amorim","G. M. Barroso","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","938","cc29818c-ea49-4828-92e9-27f80e86639c","518028","Mata Higrófila Sul Baiana",NA,"Estrada Itacaré-Taboquinhas, ca. de 6 km de Itacaré. Loteamento da Marambaia",NA,"1930653695","NY","cc29818c-ea49-4828-92e9-27f80e86639c",NA,"Myrcia micropetala (Mart.) Nied.","Bahia","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506267","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","Vascular plants","sheet","The New York Botanical Garden","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","14 Dec 1992","Itacaré Mun.","en","PhysicalObject","NY",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Google Maps (map data 2014); MaNIS Georef. Calculator","Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,NA,NA,"2014-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/112/359/v-247-00518028.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1929017219","Eugenia micropetala Mart.",-14.7929068,-39.0490868,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:49.356+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5415679,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Eugenia","micropetala","SPECIES","SYNONYM","VU",NA,NA,"SOUTH_AMERICA",NA,1839,1,NA,"1839-01",NA,NA,"2024-07-21T05:13:49.356+00:00",FALSE,"585096dc-897e-4d42-a199-0803d7ba1e11","none","none",TRUE,"Martii Herbar. Florae Brasil.",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","685","585096dc-897e-4d42-a199-0803d7ba1e11","404956",NA,NA,NA,NA,"1929017219","NY","585096dc-897e-4d42-a199-0803d7ba1e11",NA,"Eugenia micropetala Mart.","Bahia","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235912","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","Vascular plants","sheet","The New York Botanical Garden","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","Jan 1839","Ilhéus Mun.","en","PhysicalObject","NY",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","CRIA (Centro de Referência em Informação Ambiental)","Other source",NA,NA,NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/633/687/00404956.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"912092566","Myrcia micropetala (Mart.) Nied.",-13.016667,-40.016667,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:22.015+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174367,6,7707728,220,690,5014,3173889,3174367,3174367,"Myrcia micropetala (Mart.) Nied.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia micropetala","Myrcia","micropetala","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Ilheus",NA,NA,NA,NA,NA,NA,"2024-08-02T01:15:22.015+00:00",FALSE,"K000018502","none","none",TRUE,"Martius",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE","s.n.","K000018502","K000018502","in silvis umbrosis","Ilheus","prov. Ilheos.",NA,"912092566","Herbarium","http://specimens.kew.org/herbarium/K000018502","Myrtaceae","Myrcia micropetala (Mart.) Nied.",NA,NA,"fa252605-26f6-426c-9892-94d071c2c77f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",NA,NA,NA,"Gazetteer",NA,"2010-06-21T17:07:59.313+00:00",NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/ba9f878211f06b30e0a3ab0ac58350d2.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
