"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","identifiedByIDs.type","identifiedByIDs.value","recordedByIDs.type","recordedByIDs.value","gadm","informationWithheld","identificationRemarks","otherCatalogNumbers","recordNumber","habitat","http...unknown.org.recordID","locality","county","language","rights","higherClassification","collectionID","distanceFromCentroidInMeters","institutionKey","preparations","institutionID","nomenclaturalCode","ownerInstitutionCode","disposition","media_url"
"4601758471","Eugenia monticola Hitchc.",18.257696,-66.553688,"cdc,ambinst","56e9c560-bd2a-11dd-b15e-b8a03c50a862","38a69420-bd2a-11dd-b15e-b8a03c50a862","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T17:44:05.720+00:00","2024-08-01T17:55:29.460+00:00",361,"PRESERVED_SPECIMEN","PRESENT",8050918,6,7707728,220,690,5014,3177662,5416259,5416259,"Eugenia axillaris (Sw.) Willd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia axillaris","Eugenia","monticola","SPECIES","SYNONYM","NE","2024-03-05T00:00:00",NA,"NORTH_AMERICA","Ciales",2023,9,22,"2023-09-22",265,265,"2024-04-02T12:09:52.000+00:00","2024-08-01T17:55:29.460+00:00","https://sernecportal.org/portal/collections/individual/index.php?occid=32387381","http://creativecommons.org/licenses/by-nc/4.0/",FALSE,"32387381","none","none",FALSE,NA,"Luis Y. Santiago-Rosario; Marison Rosario Del Rio","Luis Y. Santiago-Rosario","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"32387381",NA,NA,NA,"Vascular Plants","4601758471","735d68e5-99f7-4359-be45-b5bc13b7a910","47869","LSU00221137","LSU",NA,NA,NA,"Eugenia monticola Hitchc.","https://www.inaturalist.org/observations/184398386; Arbol pequeño de mas o menos 3 m. Flores pequeñas y blancas. [Small tree about 3 m. Flowers small and white.]",NA,NA,NA,NA,NA,NA,NA,"LSU Accession #: 272800","LSR846","Creciendo en suelo arcilloso en bosque. [growing on clay soil in forest]","735d68e5-99f7-4359-be45-b5bc13b7a910","Cialitos, Casa de la familia de Luis Santiago-Rosario [house of the family of Luis Santiago-Rosario]","Ciales","es","http://creativecommons.org/licenses/by-nc/3.0/","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","fe609977-5b39-49c5-905a-32ca83233244",NA,NA,NA,NA,NA,NA,NA,"https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/221/LSU00221137_L.JPG"
"4111423420","Eugenia axillaris (Sw.) Willd.",26.66024,-82.15134,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:06.108+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5416259,6,7707728,220,690,5014,3177662,5416259,5416259,"Eugenia axillaris (Sw.) Willd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia axillaris","Eugenia","axillaris","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Florida",2022,9,18,"2022-09-18",261,261,NA,"2024-08-05T04:07:06.108+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:283175","http://creativecommons.org/licenses/by-nc/4.0/",FALSE,"faefd218-7618-4af1-a59e-1dbe89a48cf7","none","none",FALSE,NA,"Mariela Pajuelo;Tristan Majure;Gabriel Majure;Lucas C. Majure",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","faefd218-7618-4af1-a59e-1dbe89a48cf7",NA,NA,"Pine Island, Randell Research Center, just E of Waterfront Dr., at Brown's Mound",NA,"4111423420","faefd218-7618-4af1-a59e-1dbe89a48cf7",NA,"283175","FLAS",NA,NA,NA,"Eugenia axillaris (Sw.) Willd.",NA,NA,NA,NA,NA,NA,"location information not given for endangered species",NA,NA,"9579",NA,NA,NA,"Lee",NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","University of Florida Herbarium","ICN","FLAS",NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/695fd90a-8192-458d-90b0-f36b36cd49a6"
"3920742373","Eugenia axillaris (Sw.) Willd.",26.2593,-81.1473,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:06.085+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5416259,6,7707728,220,690,5014,3177662,5416259,5416259,"Eugenia axillaris (Sw.) Willd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia axillaris","Eugenia","axillaris","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Florida",2021,1,29,"2021-01-29",29,29,NA,"2024-08-05T04:07:06.085+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:280676","http://creativecommons.org/licenses/by-nc/4.0/",FALSE,"f5fcb39b-c2d0-4795-8af3-04a94f758645","none","none",FALSE,NA,"Jasmina McKibben;Sean M. McHugh;George J. Wilder;Alan R. Franck",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","f5fcb39b-c2d0-4795-8af3-04a94f758645",NA,NA,"Green Glades West, 0.5 km N of the Collier Co. line, ca. 16 km SW of Josie Billie Highway and West Boundary Road junction.",NA,"3920742373","f5fcb39b-c2d0-4795-8af3-04a94f758645",NA,"280676","FLAS",NA,NA,NA,"Eugenia axillaris (Sw.) Willd.",NA,NA,NA,NA,NA,NA,"location information not given for endangered species",NA,NA,"5138",NA,NA,NA,"Hendry County",NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","University of Florida Herbarium","ICN","FLAS","FLASCAT","https://cdn.floridamuseum.ufl.edu/Herbarium/f41e2b0e-95a3-4148-b752-8d2a1ca4540f"
