"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","nomenclaturalStatus","recordNumber","identifier.1","nomenclaturalCode","locality","county","fieldNumber","collectionCode","gbifID","occurrenceID","type","taxonID","catalogNumber","institutionCode","ownerInstitutionCode","bibliographicCitation","collectionID","name","individualCount","elevation","gadm","higherGeography","preparations","habitat","identificationRemarks","typeStatus","institutionID","organismID","locationID","accessRights","higherClassification","networkKeys","collectionKey","media_url","license"
"1261537781","Mosiera contrerasii (Lundell) Landrum",20.48,-86.84,"gass84,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:14:22.385+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185179,6,7707728,220,690,5014,3185119,3185179,3185179,"Mosiera contrerasii (Lundell) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera contrerasii","Mosiera","contrerasii","SPECIES","ACCEPTED","NE","2005-01-01T00:00:00","NORTH_AMERICA","Quintana Roo",1984,7,20,"1984-07-20",202,202,"2009-02-27T03:32:00.000+00:00","2024-08-02T20:14:22.385+00:00",FALSE,"urn:catalog:MO:Tropicos:812882","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",FALSE,"Tropicos","Edgar Fco. Cabrera C.|H. de Cabrera","F.R. Barrie","WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA","Missouri Botanical Garden","No opinion","Cabrera Cano 6798","urn:catalog:MO:Tropicos:812882","ICNafp","A 5 km norte de carretera transversal sobre el camino a la zona, Arqueologica de San Jerbacio en Isla de Cozumel, selva mediana con Metopium y Bursera","Cozumel","254","Tropicos","1261537781","urn:catalog:MO:Tropicos:812882","PhysicalObject","22103251","812882","MO","MOBOT","http://www.tropicos.org/Specimen/812882","http://biocol.org/urn:lsid:biocol.org:col:15859","Mosiera contrerasii (Lundell) Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100527000/676E5D0E-6E26-4160-BF00-39FE6E1BD0FD.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1258664492","Mosiera contrerasii (Lundell) Landrum",20.85,-87,"gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:14:28.594+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185179,6,7707728,220,690,5014,3185119,3185179,3185179,"Mosiera contrerasii (Lundell) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera contrerasii","Mosiera","contrerasii","SPECIES","ACCEPTED","NE","1993-01-01T00:00:00","NORTH_AMERICA","Quintana Roo",1982,5,5,"1982-05-05",125,125,"2017-05-01T16:16:00.000+00:00","2024-08-02T20:14:28.594+00:00",FALSE,"urn:catalog:MO:Tropicos:1437248","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",TRUE,"Tropicos","Gerrit Davidse|Mario Sousa S.|Arthur O. Chater|Edgar Fco. Cabrera C.","L.R. Landrum (ASU)","WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA","Missouri Botanical Garden","No opinion","Davidse 20076","urn:catalog:MO:Tropicos:1437248","ICNafp","14 km W of Puerto Morelos on road to Vallarta; medium-high deciduous forest.",NA,"1450","Tropicos","1258664492","urn:catalog:MO:Tropicos:1437248","PhysicalObject","22103251","1437248","MO","MOBOT","http://www.tropicos.org/Specimen/1437248","http://biocol.org/urn:lsid:biocol.org:col:15859","Mosiera contrerasii (Lundell) Landrum",1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100527000/9D2BF8A7-D5C6-4064-807A-01FE11EFE108.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1261537793","Mosiera contrerasii (Lundell) Landrum",20.85,-86.96,"gass84,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:14:21.861+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185179,6,7707728,220,690,5014,3185119,3185179,3185179,"Mosiera contrerasii (Lundell) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera contrerasii","Mosiera","contrerasii","SPECIES","ACCEPTED","NE","2005-01-01T00:00:00","NORTH_AMERICA","Quintana Roo",1982,5,5,"1982-05-05",125,125,"2009-02-13T03:32:00.000+00:00","2024-08-02T20:14:21.861+00:00",FALSE,"urn:catalog:MO:Tropicos:812883","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",FALSE,"Tropicos","Edgar Fco. Cabrera C.|Mario Sousa S.|Gerrit Davidse|Arthur O. Chater","F.R. Barrie","WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA","Missouri Botanical Garden","No opinion","Cabrera Cano 2560","urn:catalog:MO:Tropicos:812883","ICNafp","A 10 km al Suroeste de Puerto Morelos, sobre el camino a C. Vallarta; veg. selva mediana.",NA,NA,"Tropicos","1261537793","urn:catalog:MO:Tropicos:812883","PhysicalObject","22103251","812883","MO","MOBOT","http://www.tropicos.org/Specimen/812883","http://biocol.org/urn:lsid:biocol.org:col:15859","Mosiera contrerasii (Lundell) Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100527000/C57EF6A1-9AF9-4862-8C3E-17CAD9C2B198.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"4032047956","Mosiera contrerasii (Lundell) Landrum",16.08111,-89.35083,"gass84,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:15:29.743+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185179,6,7707728,220,690,5014,3185119,3185179,3185179,"Mosiera contrerasii (Lundell) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera contrerasii","Mosiera","contrerasii","SPECIES","ACCEPTED","NE","2005-01-01T00:00:00","NORTH_AMERICA","Petén",1975,9,11,"1975-09-11",254,254,"2022-12-03T22:04:00.000+00:00","2024-08-02T20:15:29.743+00:00",FALSE,"urn:catalog:MO:Tropicos:102148108","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",TRUE,"Tropicos","Cyrus L. Lundell|Elias Contreras","F.R. Barrie","WGS84","Magnoliopsida","GT","none","none","LATIN_AMERICA","Guatemala","NORTH_AMERICA","Missouri Botanical Garden","No opinion","Lundell 19847","urn:catalog:MO:Tropicos:102148108","ICNafp","La Cumbre, west of Km 142 [of Cadenas Road], about 1 km from road. In zapotal",NA,"693","Tropicos","4032047956","urn:catalog:MO:Tropicos:102148108","PhysicalObject","22103251","102148108","MO","MOBOT","http://www.tropicos.org/Specimen/102148108","http://biocol.org/urn:lsid:biocol.org:col:15859","Mosiera contrerasii (Lundell) Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100527000/3DDBF871-06C4-4609-9AF8-AC843EC3382C.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
