"sp","lma","se"
"Abelia_chinensis",1.78805154785551,0.00174151693322438
"Abelia_macrotera",1.84331412619985,0.00601352085405044
"Abuta_rufescens",2.53641485873826,NA
"Acaena_elongata",3.00481965468356,0.33783782430701
"Acer_caesium",2.19600691870867,0.123292700060008
"Acer_distylum",2.18065887950095,0.0596804362852971
"Acer_grandidentatum",1.96242482173031,0.0573996961421227
"Aceratium_ledermannii",2.00904513908337,NA
"Ackama_celebica",2.11222841922015,NA
"Acridocarpus_natalitius",1.76356873458433,0.0444870333707448
"Actinidia_eriantha",1.75833791017279,0.025616367440085
"Actinidia_fulvicoma",2.02940956704429,0.0241168761919568
"Actinidia_melanandra",2.21910261395167,0.0257957942350714
"Adenaria_floribunda",1.72242410240345,0.00997722805773458
"Adinandra_dumosa",1.65809857824096,0.0235407775052114
"Adinobotrys_atropurpureus",1.71068649654375,0.0611709235449864
"Aegialitis_annulata",2.16476684331823,0.0493990726368657
"Aegiceras_corniculatum",1.83928783525398,0.0330301911269656
"Aethionema_grandiflorum",2.10487991851175,0.343802202271369
"Aextoxicon_punctatum",1.80233095348076,0.0121007360787249
"Afrobrunnichia_erecta",1.80604009229776,0.0218251274071823
"Afrocayratia_debilis",2.17508377546455,0.0360238907596319
"Afrocayratia_triternata",2.29851481882743,0.100918539858786
"Afrostyrax_kamerunensis",1.45506891135294,0.00568617319853595
"Afrostyrax_lepidophyllus",1.52089330739027,0.0165079109363515
"Agdestis_clematidea",2.40449589278338,0.0559764573349072
"Agonandra_macrocarpa",2.11200490447324,0.0187404921435219
"Ailanthus_triphysa",1.80601227609585,0.0359172251659242
"Akania_bidwillii",1.35737169108902,0.207780874637458
"Akebia_quinata",1.87774961127564,0.00873677497195695
"Akebia_trifoliata",2.1345999176514,0.0425379307176674
"Alangium_chinense",2.1787300193624,0.029721039522589
"Alangium_kurzii",1.75903209195428,0.0405547745848402
"Alangium_nobile",1.83887004260161,0.0908280013347992
"Alangium_polyosmoides",1.84663044245081,0.0136476181353184
"Alangium_uniloculare",1.50704423885378,0.035010933264996
"Albertisia_papuana",2.2500988599242,NA
"Alchorneopsis_floribunda",2.00512272571512,0.043207224247517
"Alfaroa_guanacastensis",1.66999709373469,0.0178015850860936
"Allexis_obanensis",2.52143901712741,0.115060010151173
"Alloberberis_fremontii",2.26855622348851,NA
"Alloberberis_nevinii",1.91456077633961,0.0845347291433731
"Alloxylon_wickhamii",2.06370788201803,0.0330769276122295
"Alniphyllum_fortunei",1.99643769013068,0.0220508617213484
"Alnus_acuminata",2.20362567432375,0.0414260801371937
"Alnus_alnobetula",2.09923761618055,0.0135812957467813
"Alnus_firma",1.95100684279498,0.0133384332552649
"Alnus_nepalensis",1.78037089926016,0.0217089813996222
"Alnus_pendula",2.00847897720336,0.0215937808997394
"Alnus_rhombifolia",2.06147668132746,0.0140580740034732
"Alnus_rubra",2.07423537993659,0.0363364645194422
"Alseodaphnopsis_petiolaris",0.695471492103867,NA
"Alseuosmia_quercifolia",1.85195690760997,0.013142582740647
"Alsomitra_macrocarpa",1.45463652558943,0.0627759777612014
"Alvaradoa_arborescens",2.02556725862958,0.0461412207602025
"Alvaradoa_haitiensis",1.86260690288663,NA
"Alzatea_verticillata",1.29797301861586,0.181255444512567
"Amborella_trichopoda",1.75794108046557,0.02098343435174
"Ampelocissus_acapulcensis",2.43284610771316,0.0727465266674621
"Ampelocissus_africana",2.01062263527268,0.153212146004115
"Ampelocissus_barbata",2.36139987715153,NA
"Ampelocissus_elegans",1.7296768266439,0.0452995792963052
"Ampelocissus_erdvendbergiana",1.56262689171236,0.136561527011328
"Ampelocissus_thyrsiflora",1.92671819022394,0.0274154558743187
"Ampelopsis_cordata",2.31440076362658,0.0319127496969472
"Ampelopsis_denudata",2.13477899967955,0.081205267621967
"Ampelopsis_glandulosa",2.08631884094818,0.0389116255290165
"Ampelozizyphus_amazonicus",1.54804619259274,0.174791335349738
"Amphorogyne_celastroides",1.7170219303758,0.00580821423286287
"Anacolosa_griffithii",1.95027409305242,0.01330606068386
"Anacolosa_papuana",1.58734845493349,0.108577834366861
"Anaxagorea_acuminata",1.66864735596116,0.0939293800855076
"Anaxagorea_allenii",1.42035280302865,0.0380610297868293
"Anaxagorea_borneensis",1.26421218076998,0.0347769009471362
"Anaxagorea_brachycarpa",2.03142483968314,0.0812265624100368
"Anaxagorea_brevipedicellata",1.44410290522974,0.0535903864518239
"Anaxagorea_brevipes",1.66896749324949,0.0396104325597011
"Anaxagorea_crassipetala",1.3079260391849,0.0340166606488526
"Anaxagorea_dolichocarpa",1.80061280976422,0.0447178542557203
"Anaxagorea_guatemalensis",1.38513964941698,0.0303516102545676
"Anaxagorea_javanica",1.42381447447247,0.0408471013784671
"Anaxagorea_manausensis",1.60490318550217,0.0299885331423459
"Anaxagorea_pachypetala",1.50641580794473,0.018806140175628
"Anaxagorea_petiolata",1.83757479145203,0.0164631120675791
"Anaxagorea_phaeocarpa",1.56043920073421,0.0692634620760488
"Anaxagorea_prinoides",1.81969997150825,0.0106252844362985
"Anaxagorea_rheophytica",1.97542052341321,0.0175826484875873
"Anaxagorea_silvatica",1.69489316043648,0.0107543993882495
"Ancistrocladus_guineensis",1.42282884415619,0.181325688400162
"Ancistrocladus_likoko",1.73616952434482,0.0625633222372266
"Ancistrocladus_robertsoniorum",1.79720856457525,0.407958265463256
"Anisophyllea_disticha",1.45138957703092,0.148366256298136
"Anisophyllea_fallax",1.49045516873952,0.00852800976528486
"Anisophyllea_sororia",1.2482191189313,0.0370673235895094
"Anneslea_fragrans",2.16618759853148,0.0139305196822073
"Annickia_letestui",1.25104070450684,0.00902839767878446
"Annona_deminuta",1.54653131685016,0.0186239581121348
"Anthodiscus_amazonicus",1.67314000967544,0.0211828183491411
"Anthoshorea_bracteolata",2.0536723902744,0.024194958974618
"Antiaris_toxicaria",1.88978966757561,0.0822300390755584
"Antigonon_leptopus",1.98326891309127,0.0412304107955944
"Aosa_rupestris",2.73327530244923,0.0569392563638635
"Apeiba_glabra",1.90931733980609,0.0397891352295417
"Aphananthe_cuspidata",2.07891274338688,0.0148413381478434
"Aphananthe_philippinensis",1.56412675884317,0.0105083208531548
"Aphanopetalum_resinosum",1.76019476571264,0.00444212040858479
"Aphloia_theiformis",1.86040248684459,0.0050200905684854
"Apiopetalum_glabratum",2.47832675621173,0.0218565558494178
"Apiopetalum_velutinum",2.19694710043457,0.0710073407711771
"Aquilaria_beccariana",1.38245659964771,0.0281593976321677
"Aralia_soratensis",2.16672970205784,0.0231112838675166
"Arboa_berneriana",2.02192547547259,0.0140033146314523
"Arbutus_canariensis",2.06939658893722,0.0116628812298774
"Arbutus_menziesii",2.24492398867645,0.0428765973928228
"Arbutus_unedo",1.95169997264658,0.037862994420653
"Arbutus_xalapensis",2.25371374902856,0.0167682623325311
"Arcangelisia_flava",1.76965050102263,0.053477621739727
"Archibaccharis_schiedeana",1.8765506085153,0.00461788027005632
"Archytaea_triflora",1.56424907190594,0.0606806896522072
"Arctostaphylos_pungens",2.25092109120345,0.00329829160242685
"Aristolochia_acuminata",1.94541831800927,0.0201966575152807
"Aristolochia_acutifolia",1.951534624439,NA
"Aristolochia_albida",2.39766341482673,0.0290681746227689
"Aristolochia_anguicida",2.42712874293554,0.0671293628892646
"Aristolochia_argentina",2.20381184980938,0.0424481468642992
"Aristolochia_baetica",2.1720753612891,0.0287203567518126
"Aristolochia_cymbifera",1.59289743321252,NA
"Aristolochia_gibertii",1.86985744590004,0.174543330416112
"Aristolochia_grandiflora",2.16448963968152,0.212447606631817
"Aristolochia_holostylis",2.80444201953365,0.0265320911606471
"Aristolochia_indica",1.89698225905759,0.0184450258239141
"Aristolochia_littoralis",1.8036737905702,0.171572008649692
"Aristolochia_maxima",1.96068294233923,0.0306707592084237
"Aristolochia_pierrei",2.1165161453397,0.140250118487059
"Aristolochia_pilosa",2.10292245165377,0.0529057762195169
"Aristolochia_praevenosa",1.63593814878517,0.0452939705830272
"Aristolochia_ringens",1.40994394956322,NA
"Aristolochia_sempervirens",2.02971860989228,0.0197838347919732
"Aristolochia_taliscana",1.92963071575432,0.038393968013234
"Aristolochia_triactina",2.19735331918385,0.0851270946688109
"Aristolochia_zollingeriana",2.21232354124566,0.121699134824846
"Aristotelia_chilensis",2.0793316390212,0.0157805082303315
"Aristotelia_fruticosa",2.31747673743262,0.0344724524562358
"Artabotrys_aurantiacus",1.4561725683961,0.0291018116929693
"Artabotrys_brachypetalus",1.33846374162281,0.0199496033020152
"Artabotrys_crassifolius",1.25036700129895,0.119018619297275
"Artabotrys_hexapetalus",1.61207971623472,0.014170372110861
"Artabotrys_monteiroae",1.63354281291551,0.0157327633775128
"Artabotrys_pierreanus",1.56860631331868,0.0200378335941296
"Artabotrys_thomsonii",1.52696364471585,0.0230875993066235
"Artabotrys_velutinus",1.45434611511646,0.0429900213376777
"Ascarina_maheshwarii",1.74736856471053,0.0188378472788646
"Ascarina_marquesensis",2.19545344907502,0.0145043355018627
"Ascarina_philippinensis",1.98901514763242,0.00966788967335822
"Ascarina_polystachya",1.78209651075146,0.0217366109370658
"Ascarina_rubricaulis",2.02302042009418,0.00347685279103637
"Asimina_obovata",1.74858908603589,0.0306432313555731
"Asimina_triloba",1.53726045797715,0.072511860177717
"Aspidostemon_parvifolius",1.93511472687046,0.0142923278167844
"Asteropeia_micraster",1.79562561587523,0.0158132036951131
"Astrocasia_jacobinensis",2.00411876827616,0.0106658427572715
"Astrocasia_tremula",2.03718962582556,0.0382846736945013
"Atherosperma_moschatum",1.9944473970614,0.00341212610140945
"Atriplex_lentiformis",1.88939351784263,0.0466289901590602
"Atroxima_afzeliana",1.68414714979683,0.010582676898561
"Atroxima_liberica",1.5915896327247,0.0720280932609519
"Aucoumea_klaineana",1.9312447938823,0.0668369767302325
"Aucuba_japonica",2.1137102600541,0.0763894579545483
"Auranticarpa_papyracea",2.17199142312311,0.028523019948073
"Axinandra_zeylanica",1.05409696226164,0.0444633559587904
"Azara_integrifolia",1.84171068612854,0.00437556889221776
"Azima_tetracantha",1.63274510962447,0.00790682617268308
"Badiera_fuertesii",1.92125003036597,0.00367572779827961
"Balanites_maughamii",2.05521710315861,0.0426840056120272
"Balanops_pancheri",1.40204540202891,NA
"Banksia_canei",1.97471185871361,0.0466182980462052
"Banksia_solandri",2.2648001221687,0.0812879467930969
"Baphia_leptobotrys",1.74298941546699,0.0252293851267767
"Baphiopsis_parviflora",1.80527893321373,0.0539624959752784
"Barbeuia_madagascariensis",2.04749819125205,0.00418570688736691
"Barringtonia_asiatica",1.28891669527461,NA
"Basella_alba",2.48631368417303,0.039559754013113
"Basistemon_silvaticus",1.39121274151202,0.0218523231182054
"Batesia_floribunda",1.3288820755022,0.0600642193912861
"Bathiorhamnus_cryptophorus",2.08129190689066,0.00325766918028994
"Baudouinia_fluggeiformis",1.95271790857281,0.00225530232304829
"Bauhinia_corniculata",1.96868598703656,0.0301258124035598
"Bauhinia_galpinii",2.36947073037033,0.0122456408893297
"Bauhinia_longicuspis",2.0390706853779,0.0458832395584008
"Bauhinia_subclavata",1.98919177863627,0.020633050814099
"Beauprea_montana",1.68003022691509,0.029951595829951
"Beauprea_spathulifolia",2.70629272660409,0.0547275524550136
"Beaupreopsis_paniculata",2.14347038306484,0.0880234861223715
"Begonia_annobonensis",2.68623729985911,NA
"Begonia_aptera",2.38594769011637,NA
"Begonia_comorensis",2.46162726954299,0.0516199902537949
"Begonia_dichotoma",2.56799951074964,0.131257699077126
"Begonia_guaduensis",1.88134594740638,0.05288482175082
"Beilschmiedia_alloiophylla",1.77473272633622,NA
"Beilschmiedia_costaricensis",1.91841818317576,0.0680742602185134
"Beilschmiedia_dictyoneura",2.13344290753701,0.0312765465245851
"Beilschmiedia_emarginata",1.65304179888943,0.0150482318979409
"Beilschmiedia_madagascariensis",2.37845285500412,0.0155426949560449
"Beilschmiedia_oreophila",2.04132731037402,0.0278046392738219
"Beilschmiedia_roxburghiana",1.87238440584781,0.0224304708551799
"Beilschmiedia_tarairi",2.26257807411226,0.0300634083131442
"Beilschmiedia_tawaroa",1.9499984455448,0.0234803991135001
"Beilschmiedia_tsangii",1.81007957542128,0.0126314268578523
"Beilschmiedia_velutina",2.10114194709612,0.0643961224298465
"Beilschmiedia_yunnanensis",1.84891783124749,0.0215437985337642
"Beirnaertia_cabindensis",1.60234016576506,0.0560003168152006
"Bejaria_aestuans",2.08442337149767,0.0133687708421456
"Bejaria_racemosa",1.80716802034286,0.0125867822530536
"Bellendena_montana",1.84116771243326,NA
"Berberidopsis_beckleri",2.31672361597446,0.0208791755546009
"Berberidopsis_corallina",1.82793012683439,0.00438938030479506
"Berberis_chinensis",2.27270389808435,0.0726976088104602
"Berberis_koreana",1.92557901216296,0.00861337246484705
"Berberis_montana",1.97369334201643,0.0191836473171936
"Berberis_pruinosa",1.67687688030144,0.0157474031201793
"Berberis_soulieana",2.13884939652085,NA
"Berberis_thunbergii",2.5298618454701,0.0079401278000424
"Berberis_verruculosa",2.01016401362129,0.00827598912605261
"Berberis_wilsoniae",2.04442892491348,0.0393674050235201
"Bersama_abyssinica",1.99074647295229,0.294415959214802
"Bertholletia_excelsa",1.5297015339394,0.0325430910281352
"Bertolonia_maculata",2.82717218795846,0.306672231305026
"Betula_alleghaniensis",1.95436285502711,0.00998594110226324
"Betula_ermanii",2.40303939023701,0.0093321164128294
"Betula_occidentalis",2.24742895536539,0.00248780982471238
"Betula_papyrifera",2.29888306310918,0.013060379119342
"Betula_pendula",2.40094017571686,0.00538425521499016
"Betula_populifolia",2.36624019953019,0.0148936411298029
"Betula_pumila",2.03330614047317,0.00277577122203798
"Bhesa_paniculata",2.27926001213317,0.031099918006798
"Billia_rosea",1.74668744765153,0.0800791571658931
"Bistorta_vacciniifolia",2.10594090207481,0.0248218150357702
"Blastus_cochinchinensis",1.98393648568677,0.0200482467688595
"Blepharandra_hypoleuca",1.62438993838899,0.0279757375391292
"Bocageopsis_pleiosperma",1.51266532726414,0.00990377922583894
"Bocconia_integrifolia",2.41679328293357,0.261446877319348
"Bonnetia_paniculata",1.72633284906755,0.0931025768856688
"Bonnetia_sessilis",1.54939128025234,0.0346150948018668
"Boquila_trifoliolata",1.70248425969532,0.00914528708336075
"Borismene_japurensis",2.04414416463049,0.120315545682047
"Boschia_griffithii",1.7038334083948,0.0400532350394799
"Bosea_yervamora",2.1354490789108,0.00934268177400136
"Bottegoa_insignis",2.30101705232529,NA
"Bourreria_costaricensis",2.06378952574606,0.0228458229731774
"Brasenia_schreberi",2.48628533689142,NA
"Brassica_insularis",1.97674306129804,0.690441239933836
"Bredemeyera_floribunda",1.89644062374409,0.0344616039811989
"Breviea_sericea",1.1567030561441,0.041898223202832
