"sp","la","se","bio_1","bio_1_se","bio_2","bio_2_se","bio_3","bio_3_se","bio_4","bio_4_se","bio_5","bio_5_se","bio_6","bio_6_se","bio_7","bio_7_se","bio_8","bio_8_se","bio_9","bio_9_se","bio_10","bio_10_se","bio_11","bio_11_se","bio_12","bio_12_se","bio_13","bio_13_se","bio_14","bio_14_se","bio_15","bio_15_se","bio_16","bio_16_se","bio_17","bio_17_se","bio_18","bio_18_se","bio_19","bio_19_se","alt","alt_se","ai","ai_se","wind","wind_se","srad","srad_se","et0","et0_se"
"Sacoglottis_gabonensis",3.15765026786444,0.0249841544358288,25.8911998748779,0.0606802967920021,7.00866651535034,0.128962723012016,64.9348907470703,0.763598445638234,120.912107849121,1.65422569173,31.260799407959,0.116645694283557,20.4832000732422,0.0372424799785169,10.7775993347168,0.0804639717605551,26.1638664245606,0.0592177658414399,24.1220001220703,0.0786216033298849,27.0801330566406,0.0446806111114736,24.1220001220703,0.0786216033298849,2098,18.1901072014433,408.4,4.98116452247865,4.4,0.109544511501033,72.7994247436523,0.295044080271782,920,11.2240812541606,34.4,0.460434577328854,706,7.38647412504776,34.4,0.460434577328854,75.6,3.76722709695075,18632.8,152.23812925808,1.08893333673477,0.0539193745902603,12355.283203125,77.5276709722918,1124.2,6.91867039249594
"Sacoglottis_cydonioides",3.67919888291938,0.100036476644518,25.9083334604899,0.112964338491422,8.5568888982137,0.0667703911607183,77.7839914957682,0.415343921357721,61.1688016255697,4.20251645396912,32.164000193278,0.0797440062129957,21.1613337198893,0.182239545897051,11.0026664733887,0.103540404158927,25.5991115570068,0.0433332940321608,26.7066663106282,0.172917657972997,26.7066663106282,0.172917657972997,25.1737778981527,0.0646899981027361,2585,128.671847909496,363.666666666667,19.8839224090814,59.3333333333333,5.17830231010269,51.3400472005208,1.71235641760537,1031.33333333333,41.293439529157,221,24.9087222563592,221,24.9087222563592,886.666666666667,19.4288826616839,114.333333333333,7.12845108104242,16590.3333333333,709.404236222459,1.59711110591888,0.0449425497321964,17358.0279947917,252.785937312787,1559.66666666667,10.7823587057406
"Vantanea_guianensis",2.9096781950971,0.10091615406051,26.3316669464111,NA,9.29733276367188,NA,84.9536972045898,NA,43.2461776733398,NA,31.7240009307861,NA,20.7800006866455,NA,10.9440002441406,NA,26.2806663513184,NA,25.9200000762939,NA,26.8199996948242,NA,25.7473335266113,NA,3141,NA,336,NA,189,NA,19.6873569488525,NA,960,NA,593,NA,769,NA,632,NA,107,NA,27014,NA,0.78333330154419,NA,12973.3330078125,NA,1163,NA
"Vantanea_parviflora",2.67954013634298,0.0379300833363387,25.8268890380859,0.19493992090013,8.73177782694499,0.0759024440613388,83.3127136230469,1.24990048181803,52.7926737467448,4.75141115263722,31.4173342386882,0.293619164483451,20.9226665496826,0.298340343367977,10.4946676890055,0.177715851548348,25.4971116383871,0.145450790373667,26.3959999084473,0.230999279788476,26.4364446004232,0.207676812039119,25.1222229003906,0.242570099683808,2664,120.659760391681,364,18.773503787105,101,22.5265275718306,46.8581606547038,8.2030577735953,1057,52.7762572880394,329.333333333333,73.5529539654053,340.333333333333,79.9008645018823,967,62.477551524083,161,51.0631417408334,19145.6666666667,1696.36324508027,1.4782222310702,0.141870060221962,15694.888671875,535.808195511579,1422.33333333333,54.936663868832
"Clutia_pulchella",0.242389758987724,0.0149676708078378,17.1872999191284,0.406275825730395,11.2144664764404,0.310369734088954,59.6961212158203,0.87763827112547,268.590185546875,2.67584447737774,25.5591995239258,0.466318760688777,6.8519998550415,0.434923050997883,18.7072002410889,0.271896716449054,18.739733505249,0.806643916676103,14.9873332977295,0.634326687391695,20.1374668121338,0.39606121111781,13.5895999908447,0.419915416360407,1002.6,58.0705777481161,174.8,10.4109557678438,14.4,0.672309452558864,70.4633819580078,1.01275416153418,483.8,28.8490554438096,54.4,1.87936159373336,439.2,45.9596344632983,99,20.9695016631297,945.4,113.025890839223,6458.8,333.740420087229,2.5386666059494,0.223400842553013,18172.63359375,132.232618574848,1589,7.64591394144611
"Pera_bicolor",2.73160897787963,0.0424196749134016,25.9302082061768,0.304676893727854,8.93841671943664,0.358292831091342,76.8124828338623,1.68457083194243,58.4497394561768,2.06829090588782,32.4230008125305,0.572664276548661,20.6189994812012,0.409126269857559,11.8040013313293,0.719571898177619,25.6354999542236,0.300416226014688,26.1026663780212,0.453168553594797,26.7011661529541,0.324298560634639,25.2761669158936,0.288856048449249,2176.75,24.3168108860242,326.75,3.94427327484629,60.75,9.04934389886913,49.8565979003906,3.47224691188511,895,16.6408132814075,230.5,29.6011683327984,383,24.9824938707087,547,72.4997126431087,229.5,54.982762450305,13557.25,259.39515985911,1.752749979496,0.0789396129910126,17154.6042480469,454.610266759722,1602.25,30.808125957286
"Neoscortechinia_kingii",2.79264726969437,0.322517909672847,26.9160003662109,NA,7.48933362960815,NA,87.7381973266602,NA,40.206470489502,NA,31.4640007019043,NA,22.92799949646,NA,8.53600120544434,NA,26.4933338165283,NA,26.9419994354248,NA,27.4306678771973,NA,26.4020004272461,NA,3102,NA,353,NA,194,NA,24.3751277923584,NA,1053,NA,612,NA,666,NA,899,NA,54,NA,20170,NA,1.65466666221619,NA,16884.666015625,NA,1536,NA
"Neoscortechinia_forbesii",3.41012643066001,0.0551415083501437,25.5649166107178,0.222679670946805,9.03616714477539,0.0875636181166566,86.5674819946289,0.686417736189555,42.5294971466065,8.33253445173935,30.8120002746582,0.313955583480301,20.3739995956421,0.332340375975552,10.4380006790161,0.018384792495252,25.4693326950073,0.0424267035850064,25.283332824707,0.353553390593274,26.0123329162598,0.378302020038864,24.9829998016357,0.141185873365337,2907.5,179.958675811976,366,21.2132034355964,115.5,4.59619407771256,35.5128517150879,3.77576959374568,1029.5,83.7921535706059,410,12.7279220613579,757.5,90.8632213824714,556,115.965512114594,106.5,27.9307178568686,20212.5,1381.33309704792,1.6104999780655,0.0281664016850422,16350.9580078125,194.247895170466,1442,7.07106781186548
"Chaetocarpus_africanus",2.12497018463253,0.0117391956084346,23.9792292118073,0.146677918996946,9.31412494182587,0.110145410003946,76.6003036499023,0.504667450389268,85.9868831634522,2.72740140407234,29.8990004062653,0.128073321485225,17.6849998235703,0.325756885665379,12.214000582695,0.201678463307665,24.1704165935516,0.107704245964065,22.764166355133,0.191227402797879,24.8524165153503,0.138550025260951,22.764166355133,0.191227402797879,1689.375,21.6583596426579,253.5,2.4485783047078,11.875,0.819509598566641,59.0343551635742,1.06528862802267,645.125,6.93961116525991,65.5,4.33579371544094,572.25,5.83621314968631,65.5,4.33579371544094,535.875,30.5742974966019,13947.75,281.252378958193,1.17283333092928,0.0410854467864397,13705.1042480469,115.777989580598,1230.75,13.3005689325146
"Epiprinus_siletianus",-0.127833371509885,NA,21.9446659088135,NA,7.64333343505859,NA,47.1112785339355,NA,302.291656494141,NA,28.6520004272461,NA,12.4280004501343,NA,16.2239990234375,NA,24.326000213623,NA,18.054666519165,NA,24.8573341369629,NA,17.6560001373291,NA,2277,NA,549,NA,10,NA,100.965385437012,NA,1392,NA,47,NA,1086,NA,51,NA,705,NA,15002,NA,1.60199999809265,NA,17809.083984375,NA,1568,NA
