"sp","la","se","bio_1","bio_1_se","bio_2","bio_2_se","bio_3","bio_3_se","bio_4","bio_4_se","bio_5","bio_5_se","bio_6","bio_6_se","bio_7","bio_7_se","bio_8","bio_8_se","bio_9","bio_9_se","bio_10","bio_10_se","bio_11","bio_11_se","bio_12","bio_12_se","bio_13","bio_13_se","bio_14","bio_14_se","bio_15","bio_15_se","bio_16","bio_16_se","bio_17","bio_17_se","bio_18","bio_18_se","bio_19","bio_19_se","alt","alt_se","ai","ai_se","wind","wind_se","srad","srad_se","et0","et0_se"
"Ampelozizyphus_amazonicus",1.28300640807404,0.0777148037772534,1.09136997704815,0.0601041033748584,-0.785456407818754,0.0106068444836463,1.11971958188816,0.014325882396262,-0.901953146252846,0.382546376271332,0.79296623076851,0.0664672659756329,1.19171349691564,0.0777821775142402,-1.01246412320277,0.011314911538628,0.831151418498641,0.0200349259081524,1.07854694578701,0.0754246513959398,0.969008181048755,0.0634036958510617,1.11395655334502,0.0485551925332797,0.760568476649007,30.4055915910215,0.321678148846888,5.30330085889911,0.717776361404488,10.2530483272049,-0.567166279466498,2.48315879304578,0.531646278583439,9.19238815542512,0.691576243198877,25.1022907321224,-0.377509306654866,10.6066017177982,1.72788829319902,22.2738636073762,-0.853640479873228,11.667261889578,0.870717925962927,111.369318036881,-1.26027814051058,0.00659969071462466,-0.709325752371327,87.2686468224454,-0.446956949420391,6.36396103067893
"Bathiorhamnus_cryptophorus",-0.762004901147076,0.00677253375978018,0.878816256048086,0.0147900090006932,1.93745043200999,0.0494794714256912,0.23463058514265,0.260920395577302,0.053503784452827,1.95690990256715,1.38984636823783,0.0340193302564841,0.247459799270666,0.0206018892235952,0.402423817615724,0.0155443418361226,1.2081558410034,0.0145665376510446,0.482516141975076,0.0212796654308638,1.25662308045779,0.0191532174961869,0.555592780098189,0.0286621830003455,-1.53490700152207,8.00574793507765,-1.13607944451222,2.65480696096722,-1.07921144779026,0.109544511501033,2.16812495428044,0.730321954441878,-1.15166800418475,6.8044103344816,-1.15357483299596,0.374165738677394,-0.663393351926447,8.85053670688959,-1.15057893431721,0.53665631459995,-0.963032958062052,3.30030301639107,-1.905592074212,254.377923570423,1.36042495108627,0.0221723228623701,1.89002850634124,34.4502713263337,2.67811501325221,11.1621052043328
"Elaeagnus_conferta",-0.440337956152331,0.491102601648865,-0.388946290051945,NA,-0.323275877899393,NA,0.16617783517532,NA,-0.642859322271468,NA,-1.0942947266844,NA,-0.0554946552540675,NA,-0.481596405021938,NA,-0.629240590153848,NA,-0.150684391534599,NA,-1.02420011964355,NA,-0.0107831790857184,NA,0.61921832793216,NA,1.26257160411309,NA,-0.460024637131394,NA,0.387751238127844,NA,0.869584373230083,NA,-0.457806220160936,NA,-0.747662202736528,NA,0.11291255686522,NA,1.50023840362479,NA,0.183634306561899,NA,-0.651908128880732,NA,1.18525209973518,NA,0.361596951114288,NA
"Sesbania_cinerascens",-3.0267929905054,NA,0.439448926407865,NA,1.59480621897165,NA,-0.126774453946376,NA,-0.308298419158266,NA,0.967027033875524,NA,-0.0520606380516675,NA,0.545120626976506,NA,0.364074512902707,NA,0.166379946494272,NA,0.302903042718902,NA,0.376354178182389,NA,-0.742072743944509,NA,-0.284675411213556,NA,-1.15548808388591,NA,1.87289801367423,NA,-0.246248958150344,NA,-1.25589374664816,NA,-1.13356628588549,NA,-1.21183049476912,NA,0.354564223381788,NA,-1.10064212666748,NA,0.114022973583449,NA,0.362021750973606,NA,1.4641704518434,NA
"Sesbania_drummondii",-0.90964979530257,0.093959957298949,-0.131812746825425,0.617338667979326,0.543050565698576,1.07573693696195,-1.35082703396072,1.39765512530594,1.50049227364824,36.235889205278,1.10336548797801,0.454628184231778,-0.743185902116313,1.5746041200745,1.43043180251868,1.9999487279982,0.209774460133162,1.72273344008752,-0.15558591480134,2.19540711786233,0.975915227931883,0.139736644224647,-0.66767798188804,1.07586354087508,-0.671609907046621,112.116176518097,-1.1405399764483,11.4762234077114,0.482216161697312,7.50555349946513,-1.43177170800228,3.17372337686292,-1.10172117887534,38.1187229198072,0.460790249072228,30.1410265498951,-0.666281069555453,41.8798988289839,-0.221834343278941,37.9575786606282,-0.78152673494367,61.9429247446867,-0.824589627424653,913.105162090894,1.14654157970557,0.326259355467634,0.0597054491201778,221.630938172766,0.534222095167835,63.8716885058834
"Periandra_coccinea",-0.185048161843829,0.0798568795000805,0.470307764196155,0.51081960721383,0.906329405482197,0.34791084210781,0.594151973861949,1.16246391351463,-0.519721646145968,4.11333842579797,0.405094016207289,0.567646471509744,0.354160276432704,0.392037075640795,-0.216162485430198,0.607092702714773,0.435470681532666,0.4862769601176,0.38650419327863,0.438011614460252,0.205270250092747,0.570474837955843,0.490403403886508,0.479777382427823,-0.948792030506386,162.292374481412,-0.939816039324841,31.6479476837376,-0.78906110656364,3.65655170486763,0.235502386620211,6.89425264184958,-0.929564036319501,84.2696289915315,-0.796595512031582,13.8256337340517,-0.55602276008432,44.1416071465628,-0.831975856307662,25.1977365238611,0.064192599280047,66.1219412231002,-1.05131041714534,1037.653460315,-0.436542937922268,0.0613366641163686,0.0112632697308289,395.052008288829,0.485218828468764,10.3333333333333
"Dalbergiella_nyasae",-0.565774199661499,0.0115174155097016,-0.289040932779369,NA,0.719028143369181,NA,-0.102347439760988,NA,-0.0019558030649414,NA,-0.605098512224831,NA,-0.367564985485094,NA,0.131997547138718,NA,-0.0707999874540609,NA,-0.531570475263808,NA,-0.598195807981677,NA,-0.242989878009319,NA,-1.03496043948392,NA,-0.619215306419318,NA,-0.953579341279763,NA,1.56123119645452,NA,-0.517237052914162,NA,-1.03761339752345,NA,0.268289363104629,NA,-1.09787410323068,NA,0.692372795975397,NA,-1.20215379683891,NA,-0.53080481998392,NA,1.01991530822422,NA,0.705733528614585,NA
"Craibia_zimmermannii",0.205287338943391,0.0514738802271078,0.383999378355289,1.93753176136994,0.810521257995552,1.10296886418898,0.13341871518331,2.08191000562887,-0.245654245177288,41.7405286146643,0.619921009200633,2.61346673339785,0.238332164353066,0.275771550253816,0.0282095946377303,2.33769552031878,0.445350029805172,2.51777180809166,0.197353461680716,1.74301832352078,0.284864833791237,2.19368142483105,0.329965709405853,1.28245644478187,-0.87514563170046,42.0728534805996,-0.577397819518598,2.12132034355964,-0.796539208141645,3.53553390593274,1.06950939219409,6.0820397494652,-0.67504776692368,42.0728534805996,-0.867081874769771,10.6066017177982,-0.505487701576717,67.5286976033153,-0.991039986163398,7.07106781186548,0.097973456539408,459.265854380663,-0.924107521807076,871.862661203013,-0.373719118045895,0.42202490780298,0.322959235771506,455.936444863582,0.37997317612644,117.026172286374
"Indigofera_heterantha",-2.49805530358686,0.00857728306219924,0.600121602782476,1.23207443924673,1.9095588472564,0.548596867209311,-1.17668836868065,0.753313214146006,1.38661027186855,98.0604411182508,3.07706428326613,0.582656915602724,-0.481103637627257,2.61770931946264,2.10752624310776,2.03505215097879,1.08956837446415,0.967558120594066,0.694337569555353,4.57828065557108,1.98146790408131,0.556964871100068,-0.131574503927457,2.68771262173462,-1.15975606627898,183.140656327316,-0.326492898114276,65.0538238691624,-0.998447950747796,0,2.13555782186134,19.7076775458129,-0.447098957798821,200.111219075793,-0.996685832062568,2.82842712474619,-1.17688205032058,55.1543289325507,-0.935842359011967,24.3951839509359,-0.306678088929107,1.4142135623731,-1.38372980619436,729.380644793924,-1.05658992788139,0.0347660923996668,0.790080942661912,736.628489301086,1.36560706314185,100.762716319083
"Daviesia_latifolia",0.269454971946843,0.0872595676841506,-1.17349173084982,0.604635316989389,-0.143405671775597,1.35611295158905,-0.741239448219181,2.91284220469166,0.245364462009024,13.5079449135171,-1.27698180243586,0.226273954187817,-0.717195364996637,1.42411309844503,0.20939470410262,1.65038696833919,-1.98840876792422,1.09813681230093,-0.229417864297776,1.04368982752062,-1.49352936008123,0.497332138078978,-0.881501810924813,0.78135317528552,-1.29601251594297,98.9949493661167,-1.65210723286711,9.54594154601839,-0.325418808727293,4.94974746830583,-1.55372657369031,1.54659849941976,-1.62828824144582,31.4662517628014,-0.338434154233359,13.7885822331377,-1.4052742627965,7.07106781186548,-0.447966557738029,32.8804653251745,-0.745829233300799,20.1525432638166,-1.12063684958004,943.280446102854,2.07006404460802,0.728319964391656,-0.65845585464791,248.724810282368,-0.625707501811322,5.30330085889911
