"sp","lma","se","bio_1","bio_1_se","bio_2","bio_2_se","bio_3","bio_3_se","bio_4","bio_4_se","bio_5","bio_5_se","bio_6","bio_6_se","bio_7","bio_7_se","bio_8","bio_8_se","bio_9","bio_9_se","bio_10","bio_10_se","bio_11","bio_11_se","bio_12","bio_12_se","bio_13","bio_13_se","bio_14","bio_14_se","bio_15","bio_15_se","bio_16","bio_16_se","bio_17","bio_17_se","bio_18","bio_18_se","bio_19","bio_19_se","alt","alt_se","ai","ai_se","wind","wind_se","srad","srad_se","et0","et0_se"
"Sacoglottis_gabonensis",-0.569444543108525,0.0133512951161514,1.00476952384993,0.0606802967920021,-1.2994199212892,0.128962723012016,0.22108480416122,0.763598445638234,-0.629777257010117,1.65422569173,0.651575735040747,0.116645694283557,1.04405182595891,0.0372424799785169,-0.908694134066127,0.0804639717605551,0.851931884174333,0.0592177658414399,0.761068345336228,0.0786216033298849,0.961663893900933,0.0446806111114736,0.904107953396588,0.0786216033298849,0.436982274813183,18.1901072014433,1.1320757138335,4.98116452247865,-1.05720327181045,0.109544511501033,0.681768001557383,0.295044080271782,0.601739642466049,11.2240812541606,-1.02178128803241,0.460434577328854,0.80785114946826,7.38647412504776,-1.08994218048258,0.460434577328854,-0.889425465969324,3.76722709695075,1.04078293250966,152.23812925808,-1.34173709219937,0.0539193745902603,-1.76882090538572,77.5276709722918,-1.14825350087711,6.91867039249595
"Sacoglottis_cydonioides",-1.25075448212729,0.0462654211533448,1.00760200132153,0.112964338491422,-0.556843780132155,0.0667703911607183,0.934093781238845,0.415343921357721,-0.854028265353527,4.20251645396912,0.880779427649975,0.0797440062129957,1.11683106694608,0.182239545897051,-0.880132431017155,0.103540404158927,0.755364195691308,0.0433332940321608,1.09144795805744,0.172917657972997,0.869364241064356,0.172917657972997,1.02340275895211,0.0646899981027361,1.05714801462951,128.671847909496,0.757936943485847,19.8839224090814,0.175192576343341,5.17830231010269,-0.214901714760352,1.71235641760537,0.956670677347613,41.293439529157,0.251151615411858,24.9087222563592,-1.10190705567109,24.9087222563592,1.94572885279931,19.4288826616839,-0.83372701902918,7.12845108104242,0.69209417588106,709.404236222459,-0.858290922654033,0.0449425497321964,0.485602002768388,252.785937312787,0.307171989361328,10.7823587057406
"Vantanea_guianensis",0.215053798751472,0.131404451895498,1.07758633437365,NA,-0.201703617813586,NA,1.33194765703731,NA,-0.921302186860451,NA,0.769121579973434,NA,1.07590531601182,NA,-0.887577353579702,NA,0.871903556115555,NA,0.99089397279204,NA,0.89737378174709,NA,1.08845662178148,NA,1.76518117959435,NA,0.526539641407941,NA,3.08418520335683,NA,-1.53749407474895,NA,0.729259774758827,NA,2.78883135861265,NA,1.05592283384719,NA,1.03863691388059,NA,-0.844272336005799,NA,2.47161666642076,NA,-1.63246442303679,NA,-1.4903046715797,NA,-1.01857535707449,NA
"Vantanea_parviflora",0.143693971347932,0.00807653395747572,0.994137832357071,0.19493992090013,-0.47296155024979,0.0759024440613388,1.24088789746654,1.24990048181803,-0.885468693437826,4.75141115263722,0.691299306818215,0.293619164483451,1.09121662415581,0.298340343367977,-0.944599018695879,0.177715851548348,0.737923183789572,0.145450790373667,1.05173766738532,0.230999279788476,0.80258086528287,0.207676812039119,1.01755528472961,0.242570099683808,1.15774984921984,120.659760391681,0.76072486278799,18.773503787105,1.10995884466387,22.5265275718306,-0.402175177353974,8.2030577735953,1.03849609556881,52.7762572880394,0.99017125388879,73.5529539654053,-0.632014658805191,79.9008645018823,2.23186649321738,62.477551524083,-0.766620456450693,51.0631417408334,1.12833924039698,1696.36324508027,-0.971393806393772,0.141870060221962,-0.263870445892367,535.808195511579,-0.151826251589559,54.936663868832
"Clutia_pulchella",0.931229868137452,0.00556892617586503,-0.434135390629006,0.406275825730395,0.71781399817439,0.310369734088954,-0.0696195632242163,0.87763827112547,-0.0754564480810208,2.67584447737774,-0.795309352353426,0.466318760688777,-0.418887537881451,0.434923050997883,0.0975962898542549,0.271896716449054,-0.417523938515759,0.806643916676103,-0.406551558975983,0.634326687391695,-0.754166741544584,0.39606121111781,-0.290498601580737,0.419915416360407,-0.957944935443091,58.0705777481161,-0.821698133108628,10.4109557678438,-0.83285936741352,0.672309452558864,0.584157583095809,1.01275416153418,-0.78886740018669,28.8490554438096,-0.885346893236668,1.87936159373336,-0.242712745647574,45.9596344632983,-0.859844775034356,20.9695016631297,0.36134499397571,113.025890839223,-1.03755547686295,333.740420087229,0.0374416880717755,0.223400842553013,0.852693589463228,132.232618574848,0.405210448593556,7.64591394144611
"Pera_bicolor",-0.383909929112223,0.0143118187637074,1.01121827439818,0.304676893727854,-0.373851039319427,0.358292831091342,0.88018382981148,1.68457083194243,-0.864234470396033,2.06829090588782,0.946505564391308,0.572664276548661,1.05862620652036,0.409126269857559,-0.778440605234181,0.719571898177619,0.761586264076568,0.300416226014688,1.01424291521604,0.453168553594797,0.868004916173213,0.324298560634639,1.0350159326093,0.288856048449249,0.537265749167466,24.3168108860242,0.44917488077346,3.94427327484629,0.206974629466239,9.04934389886913,-0.276886926607526,3.47224691188511,0.522039559783063,16.6408132814075,0.315957952939835,29.6011683327984,-0.464008438696712,24.9824938707087,0.735877169869766,72.4997126431087,-0.66811760923727,54.982762450305,0.174287900992397,259.39515985911,-0.710226560484051,0.0789396129910126,0.393931695002955,454.610266759722,0.449494866258114,30.808125957286
"Neoscortechinia_kingii",0.794597654123788,0.105488120089593,1.17418673577059,NA,-1.06887685794288,NA,1.48646225090188,NA,-0.93271195716164,NA,0.703141774034818,NA,1.30643468701791,NA,-1.19315974064566,NA,0.908267661519056,NA,1.12152892827129,NA,1.04829608428996,NA,1.16271029246252,NA,1.71551698277128,NA,0.668723525817256,NA,3.1963571555553,NA,-1.34161783630911,NA,1.02574408233953,NA,2.9184440336686,NA,0.650345318116561,NA,1.98965869800872,NA,-0.920486217791367,NA,1.30321284896174,NA,-0.803536435316546,NA,0.2722874856137,NA,0.228072777935326,NA
"Neoscortechinia_forbesii",0.926485115808718,0.0387373437278878,0.950829267792396,0.222679670946805,-0.326966861408068,0.0875636181166566,1.42149812946908,0.686417736189555,-0.923992301300697,8.33253445173935,0.537684759452152,0.313955583480301,1.0323321186203,0.332340375975552,-0.951790234266232,0.018384792495252,0.733173249783152,0.0424267035850064,0.909513297429503,0.353553390593274,0.697764675809025,0.378302020038864,1.00176431360198,0.141185873365337,1.467832719128,179.958675811976,0.777452378600851,21.2132034355964,1.43525750603942,4.59619407771256,-0.876233426619388,3.77576959374568,0.950826004617528,83.7921535706059,1.54045664623161,12.7279220613579,1.01063990733357,90.8632213824714,0.767934083941501,115.965512114594,-0.844991334890569,27.9307178568686,1.31046842497606,1381.33309704792,-0.845553649702869,0.0281664016850422,0.0317788030436771,194.247895170466,-0.086095920967951,7.07106781186548
"Chaetocarpus_africanus",-0.889553527810469,0.00414842893640873,0.688687767692494,0.146677918996946,-0.193649561113961,0.110145410003946,0.868409802517954,0.504667450389268,-0.760871723444148,2.72740140407234,0.305994370572022,0.128073321485225,0.74374097822541,0.325756885665379,-0.726410455755629,0.201678463307665,0.511071002140241,0.107704245964065,0.587506050891232,0.191227402797879,0.411099578403413,0.138550025260951,0.750099645855764,0.191227402797879,-0.0833775310029299,21.6583596426579,-0.163470385872561,2.4485783047078,-0.889506203273744,0.819509598566641,0.106601223739399,1.06528862802267,-0.274562766633382,6.93961116525991,-0.809625804125032,4.33579371544094,0.281191025886016,5.83621314968631,-0.979167732968035,4.33579371544094,-0.227551042594755,30.5742974966019,0.240953840606329,281.252378958193,-1.26192027753758,0.0410854467864397,-1.16054132841242,115.777989580598,-0.792139938450049,13.3005689325146
"Epiprinus_siletianus",1.00532111243963,NA,0.352339331890177,NA,-0.995013708477991,NA,-0.767964605635283,NA,0.0510445663472911,NA,-0.0104546455499902,NA,0.179544781560727,NA,-0.217529481984024,NA,0.537674315222238,NA,-0.0144760305108666,NA,0.4123149336458,NA,0.170720893465711,NA,0.664928203821649,NA,2.3080200754776,NA,-0.931570685348168,NA,1.85866905257668,NA,2.10647720352082,NA,-0.935827619311093,NA,2.3041565473094,NA,-1.03081498341694,NA,0.015650330178531,NA,0.420934805620381,NA,-0.85363995927458,NA,0.68886461122098,NA,0.335023824370484,NA
